"","L4","Vip","Lamp5","L5 NP","Sst","L5 IT","Oligo","L6 PT","L6 IT","Sncg","Pvalb","L2/3 IT","Astro","L5 PT","L6b","Endo","Peri","Meis2","Macrophage","CR","VLMC","SMC"
"5062",-7,-7,-7,-0.287640453060713,-7,-5.0000004223,-7,-5.3,-7,-7,-7,-7,-7,-5.96324090605104,-7,-7,-7,-7,-7,-7,-7,-7
"5026",-5.7151377042046,-5.41924446586537,-7,-7,-7,-5.96681093978727,-7,-7,-5.94910106045831,-7,-7,-3.2200021428,-7,-7,-7,-7,-7,-5.424283263,-7,-7,-7,-7
"4550",-5.301340793,-7,-7,-7,-7,-7,-7,0.97625344305796,-5.96876784551654,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"51",-7,-5.39208442,-7,-7,-7,-7,-7,-7,-5,-7,-7,-7,-7,1.24209020561395,-7,-7,-7,-7,-7,-7,-7,-7
"1762",-7,-7,-7,-7,-7,-7,-7,2.45475790525933,-5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"2060",-7,-7,-7,-7,-7,-7,-2.58055924529598,-5.86986631831193,-7,-7,-7,-7,-7,-1.75395487345264,-7,-7,-7,-7,-7,-7,-7,-7
"2062",2.53385135671936,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-5.99270964190846,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"174",-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4.10591080366082,-7,-7,-7,-7,-7,-7,-7,-7
"4079",-7,-7,-7,-7,2.1529141201343,-7,-7,-7,-7,-5.199926902,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"4359",-7,-5.515608555,-7,-7,-7,-7,-7,-5.15,-5.94912205109976,-7,-7,-0.405296038742853,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"2965",-7,-7,-7,-7,-7,-7,-5,0.0222216820202192,-5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"5042",-5.0657168856,-5.460868649,-7,-7,-7,-5.95475926118688,-7,-7,-7,-7,-7,-1.60056374905411,-7,-5.96681093978727,-7,-7,-7,-7,-7,-7,-7,-7
"350",-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3.89817489248368,-7,-7,-7,-7,-7,-7,-7,-7
"158",-7,-7,-7,-7,-7,-7,-7,-7,3.98112154439486,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"910",1.86859402679015,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-5.0000000003,-7,-7,-7,-7,-7,-7,-7,-7
"2421",-5.84435130883195,-7,-7,-7,-7,-7,-7,-7,-5.90921963172724,-7,-7,2.49323770929812,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
"5006",-7,-7,-7,-7,-7,-7,-7,-0.569407363636977,-3.91629448655548,-7,-7,-7,-7,-5.97027281669395,-7,-7,-7,-7,-7,-7,-7,-7
"4086",-5.435716983,-7,-5.94033210986877,-7,-7,-7,-7,-7,-7,-7,-7,0.362799721467695,-7,-5.97681439650526,-7,-7,-7,-7,-7,-7,-7,-7
"776",-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3.36030670605517,-7,-7,-7,-7,-7,-7,-5.941526302126,-7,-7,-7,-7
"5459",-7,-7,-7,-7,3.83317674463475,-7,-7,-7,-7,-5.47186585,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
