"","L4","Vip","Lamp5","L5 NP","Sst","L5 IT","Oligo","L6 PT","L6 IT","Sncg","Pvalb","L2/3 IT","Astro","L5 PT","L6b","Endo","Peri","Meis2","Macrophage","CR","VLMC","SMC"
"488",0.10310280007506,0,0,0,0,0,0,0,0,0,0,0.707418411488661,0,0,0,0,0,0,0,0,0,0
"495",0,0,0,0,0.552334341198194,0,0,0,0,0,0.132793452485968,0,0,0,0,0,0,0,0,0,0.101672817088856,0
"496",0.192,0,0,0.110438482403144,0,0,0,0,0,0,0,0.361278218000017,0,0,0,0.102284266167575,0,0,0,0,0,0
"499",0.397707988366555,0,0,0,0,0.2,0,0,0,0,0,0.16255547602057,0,0,0,0,0,0,0,0,0,0
"500",0,0,0,0,0,0,0,0,0,0,0,0.849187390749922,0,0,0,0,0,0,0,0,0,0
"502",0,0,0,0,0,0,0,0,0,0,0.790575965899134,0,0,0,0,0,0.106086904665795,0,0,0,0,0
"503",0,0,0,0,0,0,0,0.802391150342816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"505",0,0,0,0,0,0.101886064870836,0,0,0,0,0.104953046349748,0.551373011263034,0,0,0,0,0,0,0,0,0,0
"507",0,0,0,0,0,0,0,0,0,0,0,0.441363883738962,0,0.133422606952342,0,0,0,0,0.129125889585537,0,0,0
"510",0,0,0,0,0,0,0,0,0,0,0,0,0,0.835473072433435,0,0,0,0,0,0,0,0
"512",0,0,0,0,0,0,0,0,0,0,0.856632892021502,0,0,0,0,0,0,0,0,0,0,0
"513",0,0,0,0,0,0,0,0,0,0,0,0.701438641826935,0,0,0.104990394278824,0,0,0,0,0,0,0
"515",0.753032076161615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"521",0.2,0,0,0,0,0.658589640828248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"522",0,0,0,0,0,0,0.658348765024566,0,0,0,0,0,0,0,0,0,0,0,0.157914492113626,0,0,0
"523",0,0,0,0,0,0.685189659790963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144440459928051,0,0
"527",0.125868188778204,0,0,0,0,0.101024827209083,0,0,0,0,0,0.525066066165359,0,0,0,0,0,0,0,0,0,0
"528",0,0,0.100160216325363,0,0,0,0,0.348535175078638,0.13438515303249,0,0,0,0,0,0,0,0,0,0.10042151365841,0,0,0
"532",0,0,0,0,0.184,0,0,0,0,0,0.529823862636413,0,0,0,0,0,0,0,0,0.118810258981114,0,0
"533",0,0,0,0,0,0,0,0,0,0,0,0.716893117006754,0,0,0,0,0,0,0,0,0,0
"534",0.138837158278906,0,0,0,0,0.100598916743911,0,0,0.169094582463417,0,0,0.161,0,0,0,0.13150526162261,0,0,0,0,0,0
"537",0,0,0,0,0,0.13119624382798,0,0.655915779689608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"539",0,0,0,0.569267110482943,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
"540",0,0,0,0.101722408618433,0,0,0,0.533203905092623,0.166395346465109,0,0,0,0,0,0,0,0,0,0,0,0,0
"542",0,0,0.108028606691541,0,0,0,0,0.439563492355343,0,0,0,0.168624570485107,0,0,0,0,0,0,0,0,0,0
"546",0,0,0,0,0,0,0,0.784928732337292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"549",0.219163322108402,0,0,0,0,0,0,0,0,0,0,0.50999031428031,0,0,0,0,0,0,0,0,0,0
"550",0,0,0,0,0,0,0,0,0,0,0,0.754583732762481,0,0,0,0,0,0,0,0,0,0
"552",0,0,0,0,0,0.299507882040711,0,0,0,0,0,0.490435417245672,0,0,0,0,0,0,0,0,0,0
"553",0,0,0,0,0,0.103619528783163,0,0,0,0,0,0.641779548791875,0,0,0,0,0,0,0,0,0,0
"554",0,0,0,0,0,0,0,0.67511426184601,0,0,0.144914597726713,0,0,0,0,0,0,0,0,0,0,0
"556",0,0,0.105851056723382,0,0,0,0,0,0,0,0,0.493484218207776,0,0,0,0.103987092796973,0,0,0,0,0,0
"557",0,0,0,0,0,0,0,0,0.490900495481586,0,0,0.170818770778115,0,0,0,0.105746036975346,0,0,0,0,0,0
"560",0,0,0,0,0,0,0,0,0.199662138918845,0,0,0.629411915130854,0,0,0,0,0,0,0,0,0,0
"564",0,0,0,0,0,0,0,0,0,0,0.159624763222396,0,0,0.535211780033767,0,0,0,0,0,0,0,0
"566",0,0,0,0,0,0,0,0,0.786765449993234,0,0,0,0,0,0,0,0,0,0,0,0,0
"567",0,0,0.109381481020739,0,0,0.100752907431159,0,0.380597994720385,0,0,0,0,0,0,0,0.13150526162261,0,0,0,0,0,0
