"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"5196",151.80264,157.9842224,"query.iter3_cl7","cl4_e253_Lgmn_L5_IT",0.316104155653904,"L5 IT","Ex"
"5201",968.29363,492.0056551,"query.iter3_cl8","cl179_e29_Cldn23_L5_PT",0.0755206855244186,"L5 PT","Ex"
"5202",1080.40585,90.1034174,"query.iter3_cl9","cl167_e33_Efcc1_L6_CT",0.5,"L6 PT","Ex"
"5207",219.69877,75.2286788,"query.iter3_cl1","cl187_e26_Teddm2_L6_CT",0.5,"L6 PT","Ex"
"5208",245.43407,498.0800564,"query.iter3_cl2","cl41_n102_Selplg_Macrophage",0.156577441529148,"Macrophage","Glia"
"5210",221.30401,281.6323676,"query.iter3_cl1","cl27_e121_Gadd45a_L6_CT",0.5,"L6 PT","Ex"
"5211",1253.40729,53.9449927,"query.iter3_cl9","cl228_e21_Rev1_L6_CT",0.5,"L6 PT","Ex"
"5214",646.00386,885.3145846,"query.iter3_cl0","cl211_e22_Ascl5_L23_IT",0.311075054366876,"L2/3 IT","Ex"
"5215",810.54395,124.1552747,"query.iter3_cl3","cl211_e22_Ascl5_L23_IT",0.5,"L2/3 IT","Ex"
"5222",419.04806,95.5263916,"query.iter3_cl1","cl27_e121_Gadd45a_L6_CT",0.5,"L6 PT","Ex"
"5223",386.48489,861.8480615,"query.iter3_cl4","cl211_e22_Ascl5_L23_IT",0.5,"L2/3 IT","Ex"
"5224",713.45108,382.181696,"query.iter3_cl8","cl189_e26_C1ql2_L5_PT",0.0762440491264995,"L5 PT","Ex"
"5225",403.32186,261.3002087,"query.iter3_cl1","cl126_e44_Traf5_L6_CT",0.5,"L6 PT","Ex"
"5226",725.36014,641.0442305,"query.iter3_cl4","cl1_e421_Cst3_L4",0.317889351564814,"L4","Ex"
"5230",739.90228,802.1397098,"query.iter3_cl0","cl197_e24_Cfap54_L23_IT",0.5,"L2/3 IT","Ex"
"5232",810.02897,918.8904237,"query.iter2_cl2","cl54_i85_Thbs3_Vip",0.165745334438354,"Vip","Inh"
"5233",1267.68879,457.0382228,"query.iter3_cl8","cl69_e70_Depdc7_L5_PT",0.0769649899895016,"L5 PT","Ex"
"5240",62.64991,553.9594717,"query.iter3_cl2","cl41_n102_Selplg_Macrophage",0.154657314233352,"Macrophage","Glia"
"5241",1101.99109,662.5450772,"query.iter3_cl6","cl153_i35_Mir384_Pvalb",0.00617579102296659,"Pvalb","Inh"
"5245",304.26281,610.030099,"query.iter3_cl4","cl163_e33_Nxf7_L4",0.5,"L4","Ex"
"5246",915.16058,275.1877432,"query.iter3_cl0","cl197_e24_Cfap54_L23_IT",0.5,"L2/3 IT","Ex"
"5250",942.02944,195.3808211,"query.iter3_cl1","cl17_e147_Gng12_L6_CT",0.317300061326182,"L6 PT","Ex"
"5252",357.8882,0.8507073,"query.iter3_cl9","cl74_e68_Napsa_L6b",0.5,"L6b","Ex"
"5254",897.58434,768.932879,"query.iter3_cl3","cl111_e48_Zar1l_L23_IT",0.316705027244092,"L2/3 IT","Ex"
