"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"7294",125.190911,116.2905051,"query.iter3_cl5","cl167_e33_Efcc1_L6_CT",0.169222586298105,"L6 PT","Ex"
"7295",132.750453,114.9872518,"query.iter3_cl1","cl1011_n13_Enpp6_Oligo",0.00835323528307596,"Oligo","Glia"
"7296",157.178324,130.6372854,"query.iter3_cl6","cl32_n118_Opalin_Oligo",0.0277791834561747,"Oligo","Glia"
"7297",172.570144,136.6684153,"query.iter3_cl1","cl16_n148_Cml3_Astro",0.00894117135049995,"Astro","Glia"
"7298",179.074013,143.5033668,"query.iter3_cl5","cl81_e63_Msl2_L6_IT",0.0286478195433566,"L6 IT","Ex"
"7299",203.007879,156.3534171,"query.iter3_cl1","cl77_n66_Rlbp1_Oligo",0.0718679808884302,"Oligo","Glia"
"7300",225.490608,175.9550633,"query.iter3_cl3","cl214_e22_Rttn_L6_CT",0.312370814660586,"L6 PT","Ex"
"7301",234.155846,174.2464134,"query.iter3_cl1","cl1011_n13_Enpp6_Oligo",0.0093421631609188,"Oligo","Glia"
"7302",267.072927,197.5885519,"query.iter3_cl3","cl214_e22_Rttn_L6_CT",0.314884514498043,"L6 PT","Ex"
"7303",280.325913,200.1875968,"query.iter3_cl2","cl46_e95_Npc1l1_L5_IT",0.0783995604375288,"L5 IT","Ex"
"7304",350.719875,240.1456356,"query.iter3_cl5","cl78_e65_NA_L5_IT",0.0762440491264995,"L5 IT","Ex"
"7305",360.802501,249.0685334,"query.iter3_cl3","cl228_e21_Rev1_L6_CT",0.311726269365719,"L6 PT","Ex"
"7306",382.514002,258.1036208,"query.iter3_cl3","cl214_e22_Rttn_L6_CT",0.312370814660586,"L6 PT","Ex"
"7307",415.959973,280.1587176,"query.iter3_cl3","cl152_e35_Elf2_L5_IT",0.309752150585928,"L5 IT","Ex"
"7308",444.95111,294.0328122,"query.iter2_cl2","cl97_i57_Pdyn_Sst",0.0747949111423099,"Sst","Inh"
"7309",459.211804,303.2313491,"query.iter3_cl1","cl116_n47_Lgr6_Astro",0.00975016725948471,"Astro","Glia"
"7310",465.871553,307.9334439,"query.iter3_cl4","cl1001_e62_Cryba2_L5_IT",0.165745334438354,"L5 IT","Ex"
"7311",471.923087,314.7891801,"query.iter3_cl3","cl27_e121_Gadd45a_L6_CT",0.5,"L6 PT","Ex"
"7312",487.028469,318.5992886,"query.iter3_cl3","cl214_e22_Rttn_L6_CT",0.310417054198246,"L6 PT","Ex"
"7313",514.513301,344.4307777,"query.iter3_cl5","cl228_e21_Rev1_L6_CT",0.0769649899895016,"L6 PT","Ex"
"7314",540.699031,352.6964995,"query.iter3_cl6","cl106_e50_Dlc1_L6_CT",0.0290835611117026,"L6 PT","Ex"
"7315",556.63196,361.099917,"query.iter3_cl5","cl214_e22_Rttn_L6_CT",0.0791131707695726,"L6 PT","Ex"
"7316",636.182236,403.3096836,"query.iter2_cl0","cl115_i47_Rny1_Pvalb",0.0303959718230489,"Pvalb","Inh"
"7317",648.092339,405.3648936,"query.iter3_cl4","cl1_e421_Cst3_L4",0.170075895909286,"L4","Ex"
"7318",652.561783,418.0939677,"query.iter3_cl1","cl83_n62_Ccl19_VLMC",0.0277791834561747,"VLMC","Glia"
"7319",660.746206,425.7450365,"query.iter3_cl3","cl214_e22_Rttn_L6_CT",0.307714792353373,"L6 PT","Ex"
"7320",667.303096,424.7790893,"query.iter3_cl1","cl41_n102_Selplg_Macrophage",0.00854737633428779,"Macrophage","Glia"
"7321",674.083498,425.3703084,"query.iter3_cl3","cl156_e35_Gpr139_L6_CT",0.313640344467062,"L6 PT","Ex"
