"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"560",5274.38435910699,15533.598246956,"query.iter3_cl3","cl181_e28_Nfkbid_L23_IT",0.5,"L2/3 IT","Ex"
"562",13539.7917012067,6662.7338172469,"query.iter3_cl6","cl228_e21_Rev1_L6_CT",0.837563951116237,"L6 PT","Ex"
"577",4590.79702547081,12935.144736822,"query.iter3_cl0","cl1_e421_Cst3_L4",0.761126095049772,"L4","Ex"
"578",16568.886201769,8651.41339811921,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.986806161200152,"L5 PT","Ex"
"582",8904.58418507597,13580.9783461437,"query.iter3_cl0","cl145_e37_Zfat_L4",0.775411399194855,"L4","Ex"
"587",966.450140692392,10793.5142416963,"query.iter2_cl1","cl160_i34_NA_Pvalb",0.7807109869595,"Pvalb","Inh"
"589",15097.7145756517,3747.9672958865,"query.iter4_cl2","cl2_e381_Rgs2_L6_IT",0.5,"L6 IT","Ex"
"590",12329.7970570779,11600.6301391067,"query.iter2_cl2","cl1005_i24_Pcdhb20_Sst",0.926350430688662,"Sst","Inh"
"593",12997.6876891979,17941.5569763567,"query.iter3_cl1","cl111_e48_Zar1l_L23_IT",0.7807109869595,"L2/3 IT","Ex"
"602",15667.5812342497,12954.5709351943,"query.iter3_cl5","cl94_e57_Cyp39a1_L4",0.939332374820759,"L4","Ex"
"603",11186.2505358612,10970.8536576922,"query.iter3_cl5","cl163_e33_Nxf7_L4",0.943794707672318,"L4","Ex"
"609",263.507083294089,9366.00774582252,"query.iter3_cl5","cl148_e36_Mmel1_L4",0.989931624224827,"L4","Ex"
"610",13618.0914058614,12668.591097383,"query.iter3_cl0","cl1_e421_Cst3_L4",0.775411399194855,"L4","Ex"
"614",14769.2946522942,5449.18330335012,"query.iter3_cl6","cl156_e35_Gpr139_L6_CT",0.934933159155966,"L6 PT","Ex"
"621",1184.49082138453,11701.162695379,"query.iter3_cl0","cl145_e37_Zfat_L4",0.930604130788195,"L4","Ex"
"622",16714.4904541416,10385.9206191046,"query.iter3_cl5","cl4_e253_Lgmn_L5_IT",0.989931624224827,"L5 IT","Ex"
"624",12730.63266244,14499.2260341755,"query.iter3_cl0","cl108_e49_NA_L4",0.7807109869595,"L4","Ex"
"625",8566.1863928102,743.726363251064,"query.iter2_cl2","cl1005_i24_Pcdhb20_Sst",0.922175654415973,"Sst","Inh"
"626",14600.4841086977,17056.2563482385,"query.iter3_cl1","cl197_e24_Cfap54_L23_IT",0.986806161200152,"L2/3 IT","Ex"
"627",8633.05837846063,7538.01888541681,"query.iter2_cl0","cl188_i26_Cgn_Pvalb",0.5,"Pvalb","Inh"
"629",479.229491606536,5958.28946732531,"query.iter3_cl6","cl156_e35_Gpr139_L6_CT",0.837563951116237,"L6 PT","Ex"
"634",16784.0146135029,12745.0723047222,"query.iter3_cl0","cl145_e37_Zfat_L4",0.930604130788195,"L4","Ex"
"636",16445.8872038856,11250.4376256959,"query.iter3_cl5","cl163_e33_Nxf7_L4",0.943794707672318,"L4","Ex"
